mysql> select avg(adf_p),concat(code_to_short, '->', code_to_long) from pair_stats group by concat(code_to_short, '->', code_to_long) order by avg(adf_p);
+------------------------+-------------------------------------------+
| avg(adf_p)             | concat(code_to_short, '->', code_to_long) |
|  0.0000684931506849315 | 510500->159943                            |
|  0.0000684931506849315 | 512500->510510                            |
|  0.0000684931506849315 | 510180->160716                            |
|   0.000136986301369863 | 159901->162711                            |
|   0.000136986301369863 | 510500->512500                            |
|   0.000136986301369863 | 159902->159943                            |
|   0.000136986301369863 | 512500->510500                            |
|  0.0002054794520547945 | 510050->510650                            |
|  0.0002054794520547945 | 510180->510420                            |
|   0.000273972602739726 | 510050->510450                            |
| 0.00034246575342465754 | 510300->510360                            |
|   0.000410958904109589 | 510230->510450                            |
|  0.0004794520547945206 | 159919->510360                            |
|  0.0006164383561643835 | 510510->159943                            |
|   0.000684931506849315 | 510330->510360                            |
|  0.0009589041095890412 | 512500->159907                            |
|  0.0009589041095890412 | 159919->159923                            |
|  0.0009589041095890412 | 159901->159912                            |
|  0.0010273972602739725 | 510050->165309                            |
|  0.0010273972602739727 | 159903->159912                            |
|   0.001301369863013699 | 510230->160716                            |
|   0.001438356164383562 | 512990->165309                            |
|   0.001506849315068493 | 510510->159912                            |
|  0.0015753424657534245 | 512500->159922                            |
|  0.0019178082191780824 | 510180->510060                            |
|  0.0021917808219178085 | 510180->510710                            |
|   0.002328767123287672 | 512500->159943                            |
|  0.0029452054794520555 | 512990->510360                            |
|   0.003013698630136987 | 510500->159912                            |
|    0.00315068493150685 | 510230->165309                            |
|   0.003424657534246575 | 159902->512330                            |
|   0.003424657534246576 | 510500->512330                            |
|    0.00363013698630137 | 510310->160716                            |
|   0.003767123287671233 | 510310->510180                            |
|   0.004109589041095891 | 510180->510310                            |
|   0.004383561643835617 | 510500->159922                            |
|  0.0044520547945205505 | 159902->159912                            |
|   0.005684931506849316 | 510330->510180                            |
|  0.0058219178082191785 | 510180->510330                            |
|    0.00589041095890411 | 510180->510360                            |
|   0.006027397260273974 | 159919->510300                            |
|  0.0060273972602739746 | 159903->159922                            |
|   0.006438356164383562 | 159902->512500                            |
|   0.006506849315068495 | 510330->160716                            |
|   0.006643835616438358 | 512500->159902                            |
|   0.006643835616438359 | 510300->159919                            |
|  0.0069863013698630155 | 510510->159922                            |
|   0.007397260273972606 | 159902->159903                            |
|  0.0075342465753424695 | 159903->159902                            |
|  0.0076027397260273995 | 159903->512510                            |
|   0.007808219178082191 | 510180->510650                            |
|   0.008013698630136987 | 512500->159903                            |
|   0.008424657534246576 | 159903->512500                            |
|    0.00856164383561644 | 510230->510050                            |
|   0.008698630136986303 | 510050->510230                            |
|   0.008835616438356168 | 159903->510500                            |
|   0.009041095890410963 | 510500->159903                            |
|    0.00938356164383562 | 510510->512330                            |
|    0.01027397260273973 | 159919->160716                            |
|    0.01027397260273973 | 510230->510420                            |
|   0.010616438356164389 | 159903->510510                            |
|   0.010821917808219183 | 510510->159903                            |
|   0.010890410958904116 | 510050->510420                            |
|   0.013082191780821924 | 510300->160716                            |
|   0.013561643835616446 | 510310->510060                            |
|   0.014246575342465756 | 159902->512510                            |
|   0.014383561643835608 | 159901->159943                            |
|   0.014657534246575343 | 510050->510060                            |
|   0.017534246575342458 | 159903->512330                            |
|     0.0186986301369863 | 512500->512330                            |
|     0.0224657534246575 | 512990->160716                            |
|    0.02520547945205478 | 159902->159922                            |
|   0.026849315068493133 | 510230->510360                            |
|   0.027945205479452055 | 510330->510650                            |
|   0.028219178082191775 | 510310->510650                            |
|    0.02938356164383558 | 512990->510330                            |
|    0.02979452054794519 | 512990->510650                            |
|   0.030205479452054776 | 510310->160706                            |
|   0.030890410958904085 | 510330->512990                            |
|    0.03136986301369861 | 510050->510360                            |
|   0.032328767123287666 | 510180->160706                            |
|   0.033630136986301386 | 159901->159907                            |
|   0.034178082191780784 | 510230->510060                            |
|    0.03479452054794521 | 510300->510650                            |
|    0.03890410958904107 | 512990->510310                            |
|   0.039178082191780796 | 510310->512990                            |
|   0.039315068493150696 | 159919->510650                            |
|    0.04089041095890411 | 510330->510710                            |
|     0.0428767123287671 | 510180->159919                            |
|    0.04328767123287669 | 159919->510180                            |
|    0.04691780821917806 | 510310->510710                            |
|    0.04732876712328763 | 512990->510230                            |
|   0.048287671232876674 | 510230->512990                            |
|     0.0487671232876712 | 512990->510710                            |
|    0.04876712328767122 | 159901->159923                            |
|   0.049246575342465744 | 512990->512610                            |
|    0.05013698630136985 | 512990->510180                            |
|     0.0526712328767123 | 510180->512990                            |
|    0.05623287671232874 | 512990->159919                            |
|    0.05773972602739721 | 159919->512990                            |
|   0.061506849315068474 | 510330->510060                            |
|    0.06328767123287668 | 510180->510230                            |
|    0.06328767123287671 | 510310->510230                            |
|    0.06397260273972599 | 510230->510180                            |
|    0.06547945205479452 | 510230->510310                            |
|    0.06739726027397255 | 510300->510710                            |
|    0.06739726027397257 | 512990->160706                            |
|    0.06842465753424652 | 512990->510060                            |
|    0.06897260273972597 | 159903->159923                            |
|    0.07349315068493148 | 512500->159939                            |
|    0.07575342465753422 | 510310->512610                            |
|    0.08027397260273969 | 159919->510710                            |
|     0.0806164383561643 | 512990->510300                            |
|    0.08109589041095885 | 510300->510180                            |
|    0.08109589041095887 | 510180->510300                            |
|    0.08452054794520542 | 510300->512990                            |
|    0.08493150684931507 | 159901->159903                            |
|    0.08568493150684928 | 510230->510330                            |
|    0.08589041095890408 | 159903->159901                            |
|     0.0863698630136986 | 510330->510230                            |
|    0.09342465753424649 | 512500->159923                            |
|    0.09726027397260277 | 510330->160706                            |
|    0.09780821917808215 | 510500->159923                            |
|    0.09972602739726022 | 159902->159923                            |
|    0.10075342465753426 | 510310->510050                            |
|    0.10397260273972603 | 510050->510310                            |
|    0.10452054794520545 | 510330->512610                            |
|    0.10458904109589039 | 510510->159923                            |
|     0.1065753424657534 | 512990->510050                            |
|    0.10924657534246575 | 510050->512990                            |
|    0.11246575342465752 | 510510->159902                            |
|    0.11260273972602743 | 159919->510060                            |
|    0.11335616438356168 | 159919->512610                            |
|    0.11479452054794519 | 159902->510510                            |
|    0.11595890410958903 | 510300->510060                            |
|    0.11726027397260269 | 510500->159939                            |
|    0.12027397260273967 | 510230->159919                            |
|    0.12034246575342461 | 159919->510230                            |
|     0.1211643835616438 | 510300->512610                            |
|    0.12575342465753425 | 159902->159939                            |
|    0.12986301369863018 | 510300->160706                            |
|    0.13164383561643836 | 510230->160706                            |
|    0.13321917808219194 | 159901->159922                            |
|    0.13328767123287677 | 510510->159939                            |
|    0.13719178082191774 | 159903->159939                            |
|     0.1487671232876712 | 510300->510230                            |
|    0.15116438356164372 | 510230->510300                            |
|    0.15643835616438356 | 512500->159901                            |
|    0.15993150684931512 | 159901->512500                            |
|    0.16931506849315076 | 512990->159929                            |
|    0.16979452054794517 | 510050->510330                            |
|    0.17089041095890406 | 510330->510050                            |
|     0.1716438356164384 | 159919->160706                            |
|    0.19321917808219174 | 510310->159929                            |
|     0.1981506849315068 | 510500->159902                            |
|    0.20068493150684938 | 159902->510500                            |
|    0.20164383561643834 | 510180->512610                            |
|     0.2058219178082191 | 510180->510050                            |
|    0.20589041095890415 | 159901->512330                            |
|     0.2084931506849314 | 510050->510180                            |
|    0.21609589041095886 | 510310->510660                            |
|     0.2191095890410959 | 512990->510660                            |
|    0.23657534246575337 | 510330->159929                            |
|     0.2477397260273974 | 159901->512510                            |
|    0.25938356164383586 | 510230->512610                            |
|    0.26479452054794517 | 510050->160706                            |
|    0.28089041095890416 | 159919->510050                            |
|    0.28239726027397266 | 510050->159919                            |
|    0.28404109589041093 | 510050->512610                            |
|     0.2919178082191782 | 159919->159929                            |
|    0.30575342465753413 | 510300->159929                            |
|    0.33082191780821923 | 159901->159902                            |
|    0.33315068493150696 | 510180->159929                            |
|    0.33575342465753416 | 159902->159901                            |
|    0.33636986301369853 | 510330->510660                            |
|      0.363219178082192 | 159901->510510                            |
|     0.3638356164383562 | 510510->159901                            |
|     0.3831506849315067 | 510300->510050                            |
|    0.38623287671232875 | 510050->510300                            |
|    0.39294520547945205 | 159919->510660                            |
|    0.40191780821917833 | 510230->162411                            |
|    0.40410958904109584 | 510230->159929                            |
|     0.4171232876712328 | 159901->510500                            |
|     0.4232191780821919 | 510500->159901                            |
|     0.4443150684931505 | 510300->510660                            |
|    0.44575342465753426 | 510050->162411                            |
|    0.45506849315068504 | 159901->159939                            |
|     0.4555479452054795 | 510310->162411                            |
|     0.4713698630136986 | 510180->510660                            |
|    0.47342465753424673 | 510050->159929                            |
|     0.4752054794520549 | 510180->162411                            |
|    0.48095890410958925 | 510230->510660                            |
|     0.5047945205479452 | 510300->162411                            |
|     0.5142465753424659 | 512500->160416                            |
|     0.5163013698630138 | 510330->162411                            |
|     0.5227397260273977 | 512990->162411                            |
|     0.5243835616438356 | 159919->162411                            |
|                  0.535 | 510510->160416                            |
|     0.5350000000000001 | 159902->160416                            |
|     0.5373287671232876 | 510500->160416                            |
|     0.5376712328767119 | 159901->162411                            |
|     0.5431506849315065 | 159902->162411                            |
|     0.5465753424657532 | 512500->162411                            |
|     0.5498630136986302 | 510500->162411                            |
|     0.5534246575342465 | 159901->160416                            |
|     0.5563013698630139 | 510510->162411                            |
|     0.5605479452054792 | 510050->510660                            |
|     0.5640410958904111 | 159903->162411                            |
|      0.568630136986301 | 159903->160416                            |
+------------------------+-------------------------------------------+
264 rows in set




510230 金融etf
50ETF "金融65.30%"
159923 中证100ETF金融50%
060央企ETF “48.78%金融”
180ETF “46.32%金融”
300ETF “35%金融”
512990 MSCIA股 20%金融 40%制造
510630 消费ETF


510180->510060 very good 0.0019178082191780824
510330->159923 very good 0.0019178082191780824
0.01----------------------------------------------------------------------------
510310->510060 good 0.013561643835616446
510050->510060 good 0.014657534246575343
510230->510060 good 0.034178082191780784
159919->510180 good 0.04328767123287669
510330->510060 good 0.061506849315068474
510230->510180 good 0.06397260273972599

510300->510060 good 0.11595890410958903
159919->510630 good
510050->510300 good 0.38623287671232875
512990->510630 good

510050->510180 good-0.2084931506849314
159919->510060 no good??? 0.11260273972602743
510230->510300 no good 0.15116438356164372
510230->510630 no good
